시간,시작가,고가,저가,종가,거래량,macd,macd_s,macd_d,vwap,sar
07/27/24 15:08:00,67925.3,67925.4,67907.7,67907.7,25.316,4.2282408017490525,-2.0087467333974645,6.2369875351465165,67884.96646699388,67876.9702585936
07/27/24 15:09:00,67907.7,67907.8,67860.9,67861.0,111.53,0.5537284433667082,-1.49625169804463,2.0499801414113383,67883.78648516389,67925.4
07/27/24 15:10:00,67860.9,67878.8,67860.9,67878.7,21.282,-0.9195074892049888,-1.380902856276702,0.46139536707171325,67883.81651563355,67925.4
07/27/24 15:11:00,67878.8,67880.4,67876.5,67876.5,12.946,-2.2387720233673463,-1.552476689694831,-0.6862953336725153,67884.46053096178,67924.11
07/27/24 15:12:00,67876.5,67904.5,67871.6,67904.5,94.097,-1.0132525327790063,-1.4446318583116662,0.4313793255326599,67888.3060606461,67922.8458
07/27/24 15:13:00,67904.5,67906.5,67888.0,67888.1,88.618,-1.3498027605965035,-1.4256660387686337,0.07586327817213023,67893.92719208676,67921.606884
07/27/24 15:14:00,67888.0,67894.9,67888.0,67894.9,36.242,-1.05564920391771,-1.351662671798449,0.2960134678807389,67894.8978677064,67920.39274632
07/27/24 15:15:00,67894.8,67905.0,67894.8,67905.0,26.598,-0.007458819571183994,-1.082821901352996,1.075363081781812,67895.09410254438,67919.2028913936
07/27/24 15:16:00,67905.0,67910.0,67896.5,67904.2,65.008,0.7500403000158258,-0.7162494610792317,1.4662897610950574,67895.94275346934,67918.03683356573
07/27/24 15:17:00,67904.3,67911.4,67904.3,67910.1,9.063,1.805630319067859,-0.21187350504981362,2.017503824117673,67895.6318194107,67916.89409689441
07/27/24 15:18:00,67910.1,67910.1,67907.0,67907.1,9.359,2.37276631325949,0.3050544586120471,2.0677118546474427,67895.2032422267,67915.77421495652
07/27/24 15:19:00,67907.0,67907.1,67903.3,67903.4,19.446,2.4949068635469303,0.7430249395990238,1.7518819239479064,67893.72270888808,67914.67673065739
07/27/24 15:20:00,67903.3,67906.6,67903.3,67906.5,33.87,2.8094624871155247,1.156312449102324,1.6531500380132007,67893.77176338027,67913.60119604424
07/27/24 15:21:00,67906.5,67917.4,67901.8,67910.5,54.19,3.342980853311019,1.5936461299440632,1.7493347233669558,67894.58952079207,67860.9
07/27/24 15:22:00,67910.5,67919.4,67910.5,67919.3,10.469,4.424877227356774,2.159892349426605,2.2649848779301687,67894.16278263868,67862.03
07/27/24 15:23:00,67919.4,67925.4,67910.4,67925.3,59.865,5.7007233639888,2.8680585523390443,2.8326648116497557,67900.68929729008,67864.3248
07/27/24 15:24:00,67925.4,67936.0,67925.3,67935.9,16.987,7.480936452644528,3.7906341324001414,3.6903023202443865,67902.79864588269,67867.989312
07/27/24 15:25:00,67936.0,67936.0,67919.8,67934.6,27.726,8.686733756258036,4.76985405717172,3.9168796990863157,67904.75955159335,67873.43016704
07/27/24 15:26:00,67934.6,67934.6,67924.5,67930.2,11.724,9.181455475540133,5.652174340845403,3.52928113469473,67907.63601696637,67878.43575367681
07/27/24 15:27:00,67930.2,67930.3,67930.0,67930.0,10.274,9.448471574956784,6.411433787667679,3.037037787289105,67911.27314985641,67883.04089338267
07/27/24 15:28:00,67930.0,67930.1,67926.1,67926.2,8.413,9.246863429769292,6.978519716088002,2.26834371368129,67913.51283655479,67887.27762191206
07/27/24 15:29:00,67926.2,67957.8,67926.1,67957.8,58.617,11.504328690061811,7.883681510882764,3.6206471791790475,67919.3188824278,67891.1754121591
07/27/24 15:30:00,67957.7,67957.8,67931.6,67931.7,26.5,11.059843310620636,8.518913870830339,2.540929439790297,67923.75583337783,67897.83787094319
07/27/24 15:31:00,67931.6,67931.7,67916.5,67916.5,9.309,9.373026066779858,8.689736310020242,0.6832897567596152,67924.08373440907,67903.83408384887
07/27/24 15:32:00,67916.5,67936.6,67916.5,67931.5,26.167,9.141211689799093,8.780031385976013,0.36118030382307964,67924.77335890738,67909.23067546397
07/27/24 15:33:00,67931.4,67931.5,67915.0,67915.1,25.03,7.547155278312857,8.533456164443383,-0.9863008861305254,67925.52812638754,67914.08760791758
07/27/24 15:34:00,67915.0,67915.1,67914.4,67914.4,6.444,6.156402759006596,8.058045483356025,-1.9016427243494292,67927.26042553403,67957.8
07/27/24 15:35:00,67914.5,67915.0,67913.6,67914.9,13.754,5.036509443205432,7.453738275325907,-2.4172288321204753,67929.7188456873,67956.932
07/27/24 15:36:00,67915.0,67921.6,67914.9,67921.5,29.82,4.628199757702532,6.888630571801232,-2.2604308140987,67929.20388641895,67955.19872
07/27/24 15:37:00,67921.6,67926.1,67921.5,67921.6,10.071,4.263533197750803,6.363611096991147,-2.100077899240344,67930.86760553026,67953.53477120001
